,School Name_x,"EQAO_Total # of
Students","EQAO_# of
Participating
Students","EQAO_# of
Students at
Levels 3/4","EQAO_% at Levels
3/4","OSSLT_Number of
Previously
Eligible
Students","OSSLT_Absent
(All
Previously
Eligible
Students)","OSSLT_Deferred
(All
Previously
Eligible
Students)","OSSLT_Successful
(Fully
Participating)","OSSLT_Not
Successful
(Fully
Participating)",Partial Name_x,School Name_y,Score,Rank,latitude,longitude
0,A Y Jackson Secondary School,112,103,96,93%,312,8%,0%,88%,12%,a y jackson,a y jackson,7.9,77/689,43.80471625,-79.36700276362913
1,Agincourt Collegiate Institute,184,172,125,73%,388,1%,<1%,94%,6%,agincourt,agincourt,8.3,41/689,43.789069,-79.27847026906079
2,Albert Campbell Collegiate Institute,169,158,100,63%,261,4%,7%,88%,12%,albert campbell,albert campbell,7.0,210/689,43.8100007,-79.27335723603309
3,Birchmount Park Collegiate Institute,104,87,28,32%,169,22%,1%,79%,21%,birchmount park,birchmount park,5.2,496/689,43.6978529,-79.25959912803853
4,Bloor Collegiate Institute,78,75,59,79%,197,4%,0%,94%,6%,bloor,bloor,8.5,26/689,,
5,C W Jefferys Collegiate Institute,84,73,14,19%,255,36%,0%,72%,28%,c w jefferys,c w jefferys,3.9,606/689,43.7583117,-79.50064579953505
6,Cedarbrae Collegiate Institute,120,114,59,52%,264,13%,0%,76%,24%,cedarbrae,cedarbrae,5.4,471/689,43.75646655,-79.22669244258802
7,Central Technical School,30,28,8,29%,231,19%,0%,62%,38%,central,central,2.7,651/689,43.66291795,-79.4088986364304
8,Central Toronto Academy,68,50,22,44%,230,4%,<1%,86%,14%,central,central,2.7,651/689,43.6575014,-79.42194764414944
9,Don Mills Collegiate Institute,116,103,63,61%,192,18%,0%,92%,8%,don mills,don mills,7.4,154/689,43.73503845,-79.33880785159096
10,Downsview Secondary School,24,22,0,0%,123,123,123,123,123,downsview,downsview,1.3,679/689,43.730643799999996,-79.4784607468305
11,Dr Norman Bethune Collegiate Institute,132,123,100,81%,276,276,276,276,276,dr norman bethune,dr norman bethune,7.4,154/689,43.812517150000005,-79.31957001158082
12,Earl Haig Secondary School,207,171,116,68%,527,527,527,527,527,earl haig,earl haig,7.9,77/689,43.76983925,-79.40642400589621
13,East York Collegiate Institute,106,95,27,28%,311,311,311,311,311,east york,east york,5.1,505/689,43.69559315,-79.32666185784666
14,Etobicoke Collegiate Institute,95,91,57,63%,306,306,306,306,306,etobicoke,etobicoke,7.3,167/689,43.649784100000005,-79.52250763407838
15,Etobicoke School of the Arts,111,109,78,72%,234,234,234,234,234,etobicoke,etobicoke,7.3,167/689,43.63100635000001,-79.50281742889261
16,Forest Hill Collegiate Institute,24,23,15,65%,185,185,185,185,185,forest hill,forest hill,6.9,227/689,43.70304565,-79.42114843699588
17,George S Henry Academy,63,59,20,34%,107,107,107,107,107,george s henry,george s henry,5.5,459/689,43.76469395,-79.3404387176603
18,Georges Vanier Secondary School,63,51,19,37%,246,246,246,246,246,georges vanier,georges vanier,5.6,443/689,43.78408965,-79.35157481437625
19,Harbord Collegiate Institute,100,87,55,63%,259,259,259,259,259,harbord,harbord,8.3,41/689,43.66156565,-79.41438340008811
20,Humberside Collegiate Institute,141,136,94,69%,396,396,396,396,396,humberside,humberside,8.5,26/689,43.6606651,-79.47072434946176
21,Jarvis Collegiate Institute,41,39,14,36%,130,130,130,130,130,jarvis,jarvis,5.1,505/689,43.66596955,-79.37687299407304
22,John Polanyi Collegiate Institute,57,43,14,33%,125,125,125,125,125,john polanyi,john polanyi,5.5,459/689,43.7179158,-79.43960020322243
23,Kipling Collegiate Institute,82,69,15,22%,171,171,171,171,171,kipling,kipling,1.8,671/689,43.6852814,-79.56295492957261
